Model,ROC AUC,Accuracy,Precision,Recall,F1 Score,Brier Score
RandomForest,0.8125763827608434,0.7393856297756962,0.6509597028694414,0.5620494842687918,0.6044205633082429,0.1670319568106527
GradientBoosting,0.8374304338150931,0.7592432832141977,0.6894483700287224,0.5767804773051364,0.6280794267690658,0.15275399807456352
ExtraTrees,0.8016138733206593,0.735518856297757,0.6430979612947421,0.5580715694763438,0.5969695378513997,0.17292843914325035
XGBoost,0.8327199135453676,0.7554073206803057,0.6900043361568726,0.5558861936419649,0.6156760594955213,0.1551161015640743
LightGBM,0.8363324220475479,0.7588889573576534,0.6975532192445532,0.5579846460814457,0.6199470854113904,0.15319669035819944
